old	kind	new	step	src	tests	presets	config	baseline	website_docs	benchmarks	finding_gate	frozen_kind	frozen_pin	leaf_const	leaf_pin
health.typing	producer	?		21	57	0	1	1	19	0	21	0	0	0	0
maintainability.mi	producer	?		20	182	2	2	0	29	0	3	0	0	0	0
security.command-injection	producer	?		3	5	0	0	0	13	0	1	0	0	0	0
security.hardcoded-credentials	producer	?		7	35	0	0	0	15	0	1	0	0	0	0
security.sensitive-parameter	producer	?		6	22	0	0	0	13	0	1	0	0	0	0
security.sql-injection	producer	?		3	7	0	0	0	13	0	1	0	0	0	0
security.xss	producer	?		4	17	0	0	0	13	0	1	0	0	0	0
size.class-count	producer	?		28	122	2	1	4	31	0	4	0	0	0	0
size.method-count	producer	?		23	153	2	2	0	52	0	3	0	0	0	0
size.property-count	producer	?		18	38	2	2	0	26	0	3	0	0	0	0
suppression.configuration	producer	?		1	0	0	0	0	16	0	1	0	0	0	0
#
# ROW COUNTS: 58 channel, 54 producer, 82 metric-key,
# 5 channel row(s) carrying a frozen occurrence discriminator (see `frozen_kind`/`frozen_pin` below),
# 12 channel row(s) carrying a leaf occurrence discriminator (see `leaf_const`/`leaf_pin` below)
#
# HOW THIS WAS PRODUCED: `php scripts/generate-rename-enumeration.php`.
# - `channel` rows: 58 keys from
#   `ChannelDeclarationRegistryInterface::staticDeclarations()` on the
#   production container (the same oracle
#   `ChannelDeclarationFixtureDriftTest` uses) — never regex over rule files,
#   because a rule can name its own channel through an inherited constant.
# - `producer` rows: 54 names from
#   `RuleExecutionInterface::allRules()` (`RuleMetadata::name`).
# - `metric-key` rows: 82 values, `ReflectionClass(MetricName::class)->getConstants()`.
#   `MetricName` is a plain final class with `public const string` members,
#   not a backed enum — reflecting its constants is the equivalent measurement.
# Occurrence columns (src, tests, presets, config, baseline, website_docs, benchmarks, finding_gate) count WHOLE-IDENTIFIER matches of the
# search string (the channel's `violationCode` half for `channel` rows, the
# name itself for `producer` and `metric-key` rows) — not files. A match must
# not be immediately preceded or followed by a word character, `.` or `-`, so
# a short name like "design.type-coverage" does not also count every
# occurrence of "design.type-coverage.property" (see PLAN.md, "Карта
# сопоставляет имя, а не подстроку", for why that prefix collision matters).
#
# BOUNDARY OF THE SET: every file under the eight surfaces above, minus
# generated/vendored noise (src/Reporting/Template/{node_modules,dist},
# benchmarks/vendor, __pycache__) and the three preset YAML files, which are
# counted once, under `presets`, not again under `src`.
#
# THE `new` AND `step` COLUMNS ARE DECISIONS, NOT MEASUREMENTS. This script
# never invents either: an unfilled row keeps `?` and an empty `step`. Both
# survive every later regeneration (merged back in by `old`+`kind`). When the row
# they were recorded against stops being measured there are two cases, and they
# are told apart by measurement rather than by assertion: if every name the
# decision promised APPEARED in this measurement, the rename has landed and the
# row retires into enumeration-renames-executed.tsv; otherwise the script fails
# instead of quietly dropping the decision. A target that existed before this
# measurement cannot have appeared, so it forbids retirement — that is what
# stops a collapse from retiring the half that was lost. A decided row must name
# the step that makes the decision, and a step must not name an undecided row:
# `--emit-maps=<step>` renders one step's decisions as map rows, and refuses a
# step that has already landed, whose maps are in git.
#
# `frozen_kind` AND `frozen_pin` NAME OCCURRENCES A RENAME SWEEP MUST SKIP.
# X10 (`01-freeze-kind.md`) froze six channels' `OccurrenceKey` discriminator
# away from the channel code: each carries a private `OCCURRENCE_KIND`
# constant, equal to today's spelling ON PURPOSE, that must NOT follow a
# future rename of the channel — moving it would move `occurrence` for every
# already-accepted baseline entry on that channel. `frozen_kind` counts that
# constant's declaration (`private const string OCCURRENCE_KIND = '<this
# channel's literal>';`) found under src/; `frozen_pin` counts the
# `itKeysOccurrenceToTheFrozenChannelSpelling*` test method(s) that assert the
# constant still equals this literal. Both are DERIVED by scanning current
# source text for those two exact shapes (see frozenKindLiterals() and
# frozenPinLiterals() in this script) — never a hand-kept list of class or
# file names — so a family frozen the same way after this file was last
# regenerated is flagged with no edit here, and a family whose freeze
# regresses (the constant rewritten as `self::NAME`, or the pin deleted)
# silently drops back to `0` instead of staying flagged by memory alone.
#
# A row with `frozen_kind` or `frozen_pin` greater than zero MUST NOT have
# every one of its counted occurrences renamed by a mechanical sweep: the
# `OCCURRENCE_KIND` declaration(s) and the pin-test literal(s) these two
# columns count are exactly the occurrences that keep their PRE-rename
# spelling forever, by design — renaming them along with the channel silently
# ends the freeze and moves `occurrence` for the channel's accepted entries.
# Every other occurrence the row's surface counts include (selectors,
# `@qmx-ignore` targets, other tests, docs, config) renames normally.
# `tests/Analysis/Finding/Integration/OccurrenceKindFreezeGuardTest.php`
# re-derives the same frozen set independently on every `composer test` run
# and fails if the count drifts from what 01-freeze-kind.md names, if a
# frozen constant no longer equals its own pin, or if the constant is no
# longer what `OccurrenceKey::semantic()` is called with — so a sweep that
# renamed a frozen occurrence by mistake is caught there, not only here. A
# frozen constant reading differently from `NAME` after a future channel
# rename is the freeze working as designed, not a drift to reconcile.
#
# `leaf_const` AND `leaf_pin` NAME A SECOND, DIFFERENTLY SHAPED FREEZE.
# Twelve further channels — the nine `code-smell.*` families deriving from
# `AbstractCodeSmellRule` and the three `security.*` families deriving from
# `AbstractSecurityPatternRule` — key `occurrence` off a
# `SMELL_TYPE`/`PATTERN_TYPE` constant instead, which the base passes to
# `OccurrenceKey::semantic()` through its finding VO. That constant holds the
# channel's LEAF in snake_case (`'eval'` for `code-smell.eval`,
# `'sql_injection'` for `security.sql-injection`), so it does not resemble
# the channel code and cannot be matched to it by spelling. `leaf_const` is a
# FLAG, 0 or 1, and not a count like the other three columns: the leaf is
# bound to its channel by ONE declaring file, and a second file claiming the
# same channel is refused with an exception rather than added up, so a value
# above 1 is unreachable by construction. `leaf_pin` counts the
# `itKeysOccurrenceToItsOwnSmellType`/`...PatternType` test method(s) that
# assert a finding this rule produced still keys on that literal. Both are
# DERIVED — the leaf is bound to its channel by the same-file co-location of
# `public const string NAME = '<channel>'` with the leaf constant, never by a
# hand-kept list — so a thirteenth family adopting the shape is flagged with
# no edit here, and a family that stops declaring it drops back to `0`.
#
