axis	row	side	outcome	observation
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|string-nonnumber	value	refused-framed	Option "warning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.long-parameter-list.warning|string-number	value	refused-framed	Option "warning" of rule "code-smell.long-parameter-list" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.error	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\UnreachableCodeOptions","enabled":true,"warning":1,"error":7331},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.unreachable-code.error	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\UnreachableCodeOptions","enabled":true,"warning":1,"error":2},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.unreachable-code.error|bool	value	refused-framed	Option "error" of rule "code-smell.unreachable-code" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.unreachable-code.error|float	value	refused-framed	Option "error" of rule "code-smell.unreachable-code" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.unreachable-code.error|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\UnreachableCodeOptions","enabled":true,"warning":1,"error":7331},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.unreachable-code.error|list	value	refused-framed	Option "error" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.error|map	value	refused-framed	Option "error" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.error|null	value	refused-framed	Option "error" of rule "code-smell.unreachable-code" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.unreachable-code.error|string-nonnumber	value	refused-framed	Option "error" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.error|string-number	value	refused-framed	Option "error" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.warning	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\UnreachableCodeOptions","enabled":true,"warning":7331,"error":2},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.unreachable-code.warning	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\UnreachableCodeOptions","enabled":true,"warning":1,"error":2},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.unreachable-code.warning|bool	value	refused-framed	Option "warning" of rule "code-smell.unreachable-code" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.code-smell.unreachable-code.warning|float	value	refused-framed	Option "warning" of rule "code-smell.unreachable-code" must be a whole number or null, got a number.
A	form|cli-alias|rules.code-smell.unreachable-code.warning|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\CodeSmell\\UnreachableCodeOptions","enabled":true,"warning":7331,"error":2},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.code-smell.unreachable-code.warning|list	value	refused-framed	Option "warning" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.warning|map	value	refused-framed	Option "warning" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.warning|null	value	refused-framed	Option "warning" of rule "code-smell.unreachable-code" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.code-smell.unreachable-code.warning|string-nonnumber	value	refused-framed	Option "warning" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.code-smell.unreachable-code.warning|string-number	value	refused-framed	Option "warning" of rule "code-smell.unreachable-code" must be a whole number or null, got a string.
A	form|cli-alias|rules.cohesion.lcom.error	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Cohesion\\LcomOptions","enabled":true,"warning":3,"error":7331,"excludeReadonly":true,"minMethods":3,"excludeMethods":null},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.cohesion.lcom.error	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Cohesion\\LcomOptions","enabled":true,"warning":3,"error":5,"excludeReadonly":true,"minMethods":3,"excludeMethods":null},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.cohesion.lcom.error|bool	value	refused-framed	Option "error" of rule "cohesion.lcom" must be a whole number or null, got a boolean.
A	form|cli-alias|rules.cohesion.lcom.error|float	value	refused-framed	Option "error" of rule "cohesion.lcom" must be a whole number or null, got a number.
A	form|cli-alias|rules.cohesion.lcom.error|int	value	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Cohesion\\LcomOptions","enabled":true,"warning":3,"error":7331,"excludeReadonly":true,"minMethods":3,"excludeMethods":null},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.cohesion.lcom.error|list	value	refused-framed	Option "error" of rule "cohesion.lcom" must be a whole number or null, got a string.
A	form|cli-alias|rules.cohesion.lcom.error|map	value	refused-framed	Option "error" of rule "cohesion.lcom" must be a whole number or null, got a string.
A	form|cli-alias|rules.cohesion.lcom.error|null	value	refused-framed	Option "error" of rule "cohesion.lcom" must be a whole number or null, got an empty string.
A	form|cli-alias|rules.cohesion.lcom.error|string-nonnumber	value	refused-framed	Option "error" of rule "cohesion.lcom" must be a whole number or null, got a string.
A	form|cli-alias|rules.cohesion.lcom.error|string-number	value	refused-framed	Option "error" of rule "cohesion.lcom" must be a whole number or null, got a string.
A	form|cli-alias|rules.cohesion.lcom.excludeMethods	equivalent	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Cohesion\\LcomOptions","enabled":true,"warning":3,"error":5,"excludeReadonly":true,"minMethods":3,"excludeMethods":["abc"]},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.cohesion.lcom.excludeMethods	omitted	accepted	{"options":{"@":"Qualimetrix\\Analysis\\Evidence\\Cohesion\\LcomOptions","enabled":true,"warning":3,"error":5,"excludeReadonly":true,"minMethods":3,"excludeMethods":null},"excluded":{"namespace":false,"path":false}}
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|bool	value	refused-framed	Option "excludeMethods" of rule "cohesion.lcom" must be a string or a list of strings or null, got a boolean.
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|float	value	refused-framed	Option "excludeMethods" of rule "cohesion.lcom" must be a string or a list of strings or null, got a number.
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|int	value	refused-framed	Option "excludeMethods" of rule "cohesion.lcom" must be a string or a list of strings or null, got a whole number.
A	form|cli-alias|rules.cohesion.lcom.excludeMethods|list	collapse	refused-framed	Option "excludeMethods" of rule "cohesion.lcom" must be a string or a list of strings or null, got a whole number.
